,k,p,q,run_id,param,param_out,param_pos,input,output,diff
2235,2,2,2,1,mu,mu_out,1,3.50135112782342,3.593408688452035,-0.09205756062861514
2232,2,2,2,2,mu,mu_out,0,-1.3493177750751795,-1.3221463206723456,-0.02717145440283386
2233,2,2,2,2,mu,mu_out,1,0.5530272154658,0.5464402574358723,0.006586958029927703
2230,2,2,2,3,mu,mu_out,0,-3.2954213805126105,-3.3779610188257636,0.08253963831315314
2231,2,2,2,3,mu,mu_out,1,-4.001980768614442,-3.7863820912444246,-0.21559867737001737
2229,2,2,3,0,mu,mu_out,0,,,
2227,2,2,3,1,mu,mu_out,0,0.6565810075101625,0.9741495300607506,-0.3175685225505881
2228,2,2,3,1,mu,mu_out,1,-2.1715403484453466,-2.422891969981526,0.2513516215361795
2225,2,2,3,2,mu,mu_out,0,0.3936701699076865,1.1603182990791883,-0.7666481291715017
2226,2,2,3,2,mu,mu_out,1,-4.394973139797454,-6.293766732728709,1.8987935929312547
2223,2,2,3,3,mu,mu_out,0,4.997825555915469,4.592530600069151,0.40529495584631814
2224,2,2,3,3,mu,mu_out,1,-1.636784636049657,-3.053189087740689,1.4164044516910321
2222,2,2,4,0,mu,mu_out,0,,,
2220,2,2,4,1,mu,mu_out,0,1.2327262057974526,1.3367951747700537,-0.1040689689726011
2221,2,2,4,1,mu,mu_out,1,0.6628484467703821,0.6075567932308884,0.055291653539493724
2218,2,2,4,2,mu,mu_out,0,-2.0075114396171605,-2.006287169842817,-0.0012242697743434228
2219,2,2,4,2,mu,mu_out,1,-1.1377277298304056,-1.056159728138363,-0.08156800169204259
2216,2,2,4,3,mu,mu_out,0,-2.348054921056402,-2.2468964190347362,-0.10115850202166587
2217,2,2,4,3,mu,mu_out,1,0.7027779495777116,0.6491238104405541,0.05365413913715744
2215,2,3,1,0,mu,mu_out,0,,,
2213,2,3,1,1,mu,mu_out,0,-2.151696596069206,-1.9310171338805842,-0.22067946218862167
2214,2,3,1,1,mu,mu_out,1,5.830851125217634,5.994298633122626,-0.1634475079049924
2211,2,3,1,2,mu,mu_out,0,-0.30748404697471393,-0.7804253732918364,0.47294132631712243
2212,2,3,1,2,mu,mu_out,1,5.895141410171421,5.919064712000266,-0.02392330182884539
2209,2,3,1,3,mu,mu_out,0,-4.865266103698123,-4.353830731372103,-0.5114353723260203
2210,2,3,1,3,mu,mu_out,1,-0.38498934037303323,3.4185019109602597,-3.803491251333293
2208,2,3,2,0,mu,mu_out,0,,,
2206,2,3,2,1,mu,mu_out,0,-3.9247544098042146,-0.8065329614676056,-3.118221448336609
2207,2,3,2,1,mu,mu_out,1,-2.424155925927834,-0.5634308670974033,-1.8607250588304305
