,k,p,q,run_id,param,param_out,param_pos,input,output,diff
734,2,1,4,0,theta,theta_out,2,-0.10264343710248053,-0.09563232442819655,-0.007011112674283976
735,2,1,4,0,theta,theta_out,3,-0.3494578861587916,-0.3517530294471387,0.0022951432883471234
728,2,1,4,1,theta,theta_out,0,-0.4695894253456966,-0.48707946084132264,0.017490035495626055
729,2,1,4,1,theta,theta_out,1,-0.16737731505942266,-0.1732719813197666,0.005894666260343934
730,2,1,4,1,theta,theta_out,2,0.46005613975851384,0.45754502978647604,0.002511109972037795
731,2,1,4,1,theta,theta_out,3,0.13867769989229692,0.132519742311323,0.006157957580973927
724,2,1,4,2,theta,theta_out,0,0.28936639122167834,0.2786441973449775,0.01072219387670087
725,2,1,4,2,theta,theta_out,1,-0.13858370520459073,-0.15873261366044167,0.020148908455850933
726,2,1,4,2,theta,theta_out,2,0.314364877542862,0.28405250307212915,0.030312374470732872
727,2,1,4,2,theta,theta_out,3,-0.15820044277690365,-0.1809223085940738,0.022721865817170145
720,2,1,4,3,theta,theta_out,0,-0.49982587227421127,-0.48870212440105143,-0.01112374787315984
721,2,1,4,3,theta,theta_out,1,0.7137342863002931,0.7152663525353448,-0.0015320662350516434
722,2,1,4,3,theta,theta_out,2,-0.6547725440900385,-0.6363338807912057,-0.018438663298832814
723,2,1,4,3,theta,theta_out,3,0.10815157662533408,0.09968884108325697,0.008462735542077104
719,2,2,1,0,theta,theta_out,0,-0.465966701596443,-0.47936955588345026,0.013402854287007271
718,2,2,1,1,theta,theta_out,0,0.3245087159449008,0.34003876302073155,-0.015530047075830722
717,2,2,1,2,theta,theta_out,0,0.5816347711413354,0.5912181682791053,-0.0095833971377699
716,2,2,1,3,theta,theta_out,0,0.03875044739096064,0.0972682023985297,-0.058517755007569054
714,2,2,2,0,theta,theta_out,0,-0.8964878873747222,-0.8954835978880812,-0.0010042894866409968
715,2,2,2,0,theta,theta_out,1,0.7831060132818243,0.7792815628503561,0.0038244504314681738
712,2,2,2,1,theta,theta_out,0,0.11531265985391459,0.12200919228275672,-0.0066965324288421335
713,2,2,2,1,theta,theta_out,1,-0.723621110664023,-0.7299488297807052,0.006327719116682173
710,2,2,2,2,theta,theta_out,0,-0.06104101995375666,-0.06254971269671425,0.0015086927429575903
711,2,2,2,2,theta,theta_out,1,-0.5316954240187891,-0.5338912173535738,0.0021957933347847014
708,2,2,2,3,theta,theta_out,0,0.16990667298589884,0.16964861483562368,0.0002580581502751589
709,2,2,2,3,theta,theta_out,1,0.6097009211747713,0.6177912716774256,-0.008090350502654386
705,2,2,3,0,theta,theta_out,0,0.47861592974962985,0.48635121593950226,-0.0077352861898724035
706,2,2,3,0,theta,theta_out,1,0.6942332445860027,0.7037495750492287,-0.009516330463226086
707,2,2,3,0,theta,theta_out,2,0.3735993975186116,0.39475977509119775,-0.021160377572586153
702,2,2,3,1,theta,theta_out,0,-0.720795042461888,-0.7249630904649754,0.0041680480030874545
703,2,2,3,1,theta,theta_out,1,0.7270935628306165,0.7359084822200883,-0.008814919389471765
704,2,2,3,1,theta,theta_out,2,-0.6044559739697706,-0.6108845834664488,0.006428609496678228
699,2,2,3,2,theta,theta_out,0,-0.40933784255747274,-0.4035410179452745,-0.005796824612198215
700,2,2,3,2,theta,theta_out,1,-0.09741919740925586,-0.09590461573050515,-0.0015145816787507094
701,2,2,3,2,theta,theta_out,2,0.6723662215657087,0.67868480443548,-0.006318582869771272
